# s0,s1,s2,s3,s4,s5,s6,s7,s8
-3.196397051215171814e-02,-9.068945073522627354e-04,5.900370478630065918e-01,-2.232821285724639893e-01,-5.685499906539916992e-01,-7.231013178825378418e-01,-4.627982974052429199e-01,-5.493924617767333984e-01,-3.356943428516387939e-01
-3.420611470937728882e-02,-3.793471958488225937e-03,5.881202816963195801e-01,-2.323064655065536499e-01,-5.962487459182739258e-01,-7.070791721343994141e-01,-4.484292566776275635e-01,-5.773155093193054199e-01,-3.833611905574798584e-01
-3.640711680054664612e-02,-6.756358779966831207e-03,5.859410166740417480e-01,-2.396784871816635132e-01,-6.245624423027038574e-01,-6.891071200370788574e-01,-4.401998817920684814e-01,-5.925772786140441895e-01,-4.358536899089813232e-01
-3.861165791749954224e-02,-9.621978737413883209e-03,5.834113955497741699e-01,-2.429198920726776123e-01,-6.497766971588134766e-01,-6.720947027206420898e-01,-4.409087598323822021e-01,-5.731239318847656250e-01,-5.059229135513305664e-01
-4.080355912446975708e-02,-1.248193718492984772e-02,5.805827379226684570e-01,-2.430470436811447144e-01,-6.736632585525512695e-01,-6.554085612297058105e-01,-4.383800923824310303e-01,-5.719918608665466309e-01,-5.657277107238769531e-01
-4.298153519630432129e-02,-1.557673327624797821e-02,5.778217315673828125e-01,-2.316534221172332764e-01,-7.029215693473815918e-01,-6.407025456428527832e-01,-4.355949759483337402e-01,-6.189590692520141602e-01,-5.522027611732482910e-01
-4.525235667824745178e-02,-1.882974244654178619e-02,5.746133327484130859e-01,-2.261823415756225586e-01,-7.298668622970581055e-01,-6.209691166877746582e-01,-4.541645944118499756e-01,-6.506019830703735352e-01,-6.416839361190795898e-01
-4.759742319583892822e-02,-2.196704037487506866e-02,5.709759593009948730e-01,-2.207605987787246704e-01,-7.520125508308410645e-01,-6.033561825752258301e-01,-4.690130650997161865e-01,-6.274595856666564941e-01,-7.274757027626037598e-01
-4.996312037110328674e-02,-2.516053430736064911e-02,5.670005679130554199e-01,-2.178592979907989502e-01,-7.731333971023559570e-01,-5.827012062072753906e-01,-4.731396734714508057e-01,-6.386985182762145996e-01,-7.950689196586608887e-01
-5.233619734644889832e-02,-2.848641760647296906e-02,5.627496242523193359e-01,-2.135202735662460327e-01,-7.948859333992004395e-01,-5.590115189552307129e-01,-4.746154248714447021e-01,-6.651768684387207031e-01,-8.501962423324584961e-01
-5.474326014518737793e-02,-3.178654238581657410e-02,5.581301450729370117e-01,-2.100856900215148926e-01,-8.143051862716674805e-01,-5.353137850761413574e-01,-4.814124107360839844e-01,-6.600245237350463867e-01,-9.238864183425903320e-01
-5.715546384453773499e-02,-3.511063009500503540e-02,5.531769990921020508e-01,-2.062045633792877197e-01,-8.325149416923522949e-01,-5.108563303947448730e-01,-4.824402630329132080e-01,-6.648178100585937500e-01,-9.906393885612487793e-01
-5.958569794893264771e-02,-3.859274461865425110e-02,5.479502081871032715e-01,-1.995050907135009766e-01,-8.512226343154907227e-01,-4.839715957641601562e-01,-4.860472381114959717e-01,-6.964229345321655273e-01,-1.045359373092651367e+00
-6.200703978538513184e-02,-4.194939509034156799e-02,5.423490405082702637e-01,-1.921215802431106567e-01,-8.664913773536682129e-01,-4.604861736297607422e-01,-4.842682480812072754e-01,-6.713304519653320312e-01,-1.120225548744201660e+00
-6.447740644216537476e-02,-4.549250379204750061e-02,5.364438891410827637e-01,-1.838201731443405151e-01,-8.824386000633239746e-01,-4.329932332038879395e-01,-4.940733611583709717e-01,-7.086210846900939941e-01,-1.181036472320556641e+00
-6.698097288608551025e-02,-4.911577329039573669e-02,5.302089452743530273e-01,-1.742671132087707520e-01,-8.975320458412170410e-01,-4.042335152626037598e-01,-5.007128119468688965e-01,-7.246544957160949707e-01,-1.246984124183654785e+00
-6.943888217210769653e-02,-5.262168124318122864e-02,5.236352086067199707e-01,-1.634981185197830200e-01,-9.093756675720214844e-01,-3.795532882213592529e-01,-4.915829896926879883e-01,-7.011815905570983887e-01,-1.314749479293823242e+00
-7.197525352239608765e-02,-5.630771443247795105e-02,5.167217850685119629e-01,-1.515082865953445435e-01,-9.214880466461181641e-01,-3.510430753231048584e-01,-5.072733163833618164e-01,-7.372066974639892578e-01,-1.382686018943786621e+00
-7.456476986408233643e-02,-6.008303537964820862e-02,5.094563364982604980e-01,-1.382738351821899414e-01,-9.328331351280212402e-01,-3.207437396049499512e-01,-5.179038047790527344e-01,-7.550641894340515137e-01,-1.453087449073791504e+00
-7.717258483171463013e-02,-6.389662623405456543e-02,5.018327236175537109e-01,-1.242031902074813843e-01,-9.429955482482910156e-01,-2.898164987564086914e-01,-5.215626358985900879e-01,-7.627180814743041992e-01,-1.524722933769226074e+00
-7.967954874038696289e-02,-6.760557740926742554e-02,4.938952326774597168e-01,-1.100375130772590637e-01,-9.505590796470642090e-01,-2.632875740528106689e-01,-5.013926625251770020e-01,-7.417902946472167969e-01,-1.587497234344482422e+00
-8.226753771305084229e-02,-7.145354896783828735e-02,4.855705797672271729e-01,-9.444955736398696899e-02,-9.581273794174194336e-01,-2.331424951553344727e-01,-5.175982117652893066e-01,-7.695943117141723633e-01,-1.664930701255798340e+00
-8.490359038114547729e-02,-7.537531107664108276e-02,4.768634736537933350e-01,-7.770694047212600708e-02,-9.648698568344116211e-01,-2.016801983118057251e-01,-5.272108912467956543e-01,-7.843516469001770020e-01,-1.741422057151794434e+00
-8.744274079799652100e-02,-7.926370948553085327e-02,4.678403735160827637e-01,-5.989852175116539001e-02,-9.698764681816101074e-01,-1.745597720146179199e-01,-5.078290700912475586e-01,-7.776796221733093262e-01,-1.804622411727905273e+00
-9.199018776416778564e-02,-8.167385309934616089e-02,4.642986655235290527e-01,-5.279421433806419373e-02,-9.739124774932861328e-01,-1.427524834871292114e-01,-9.094897508621215820e-01,-4.820294678211212158e-01,-7.083399295806884766e-01
-9.727564454078674316e-02,-8.404123783111572266e-02,4.620371162891387939e-01,-4.415110126137733459e-02,-9.757090210914611816e-01,-1.156437695026397705e-01,-1.057090759277343750e+00,-4.734770357608795166e-01,-4.523093104362487793e-01
-1.029702499508857727e-01,-8.645194768905639648e-02,4.604327678680419922e-01,-3.557812422513961792e-02,-9.775053858757019043e-01,-8.355536311864852905e-02,-1.138922214508056641e+00,-4.821412563323974609e-01,-3.208690583705902100e-01
-1.087893769145011902e-01,-8.865039050579071045e-02,4.591698944568634033e-01,-2.778810821473598480e-02,-9.780344963073730469e-01,-5.518304556608200073e-02,-1.163825511932373047e+00,-4.396888315677642822e-01,-2.525733709335327148e-01
-1.148489564657211304e-01,-9.095360338687896729e-02,4.578251242637634277e-01,-1.951399073004722595e-02,-9.780427813529968262e-01,-2.251629345118999481e-02,-1.211915493011474609e+00,-4.606434106826782227e-01,-2.689572274684906006e-01
-1.208694502711296082e-01,-9.326083213090896606e-02,4.562924206256866455e-01,-1.012463029474020004e-02,-9.765053987503051758e-01,5.869214423000812531e-03,-1.204098582267761230e+00,-4.614457786083221436e-01,-3.065401315689086914e-01
-1.268989145755767822e-01,-9.556794911623001099e-02,4.545070230960845947e-01,-5.963332951068878174e-04,-9.738957285881042480e-01,3.309276327490806580e-02,-1.205894231796264648e+00,-4.614222049713134766e-01,-3.570768535137176514e-01
-1.330502480268478394e-01,-9.786868095397949219e-02,4.523566961288452148e-01,8.419961668550968170e-03,-9.702636003494262695e-01,6.532599776983261108e-02,-1.230266094207763672e+00,-4.601470828056335449e-01,-4.300693571567535400e-01
-1.391616165637969971e-01,-1.001859009265899658e-01,4.500217437744140625e-01,1.834617368876934052e-02,-9.653885960578918457e-01,9.293189644813537598e-02,-1.222273111343383789e+00,-4.634443521499633789e-01,-4.669882059097290039e-01
-1.453635394573211670e-01,-1.025084853172302246e-01,4.473265409469604492e-01,2.903023175895214081e-02,-9.597268700599670410e-01,1.252930611371994019e-01,-1.240383148193359375e+00,-4.645161926746368408e-01,-5.390412211418151855e-01
-1.515080332756042480e-01,-1.048326045274734497e-01,4.444134235382080078e-01,4.001579061150550842e-02,-9.536356329917907715e-01,1.539049148559570312e-01,-1.228900194168090820e+00,-4.648244976997375488e-01,-5.826216936111450195e-01
-1.576808840036392212e-01,-1.071475148200988770e-01,4.412330090999603271e-01,5.100327357649803162e-02,-9.464356303215026855e-01,1.813172399997711182e-01,-1.234569668769836426e+00,-4.629814624786376953e-01,-6.360853910446166992e-01
-1.638804823160171509e-01,-1.094462200999259949e-01,4.377724826335906982e-01,6.191869080066680908e-02,-9.382289052009582520e-01,2.082796692848205566e-01,-1.239920020103454590e+00,-4.597415924072265625e-01,-6.921007633209228516e-01
-1.701896935701370239e-01,-1.116822436451911926e-01,4.339360296726226807e-01,7.282269746065139771e-02,-9.279988408088684082e-01,2.403266429901123047e-01,-1.261842370033264160e+00,-4.472041428089141846e-01,-7.672929763793945312e-01
-1.764779090881347656e-01,-1.139402762055397034e-01,4.298983812332153320e-01,8.395620435476303101e-02,-9.170349240303039551e-01,2.676495313644409180e-01,-1.257643222808837891e+00,-4.516071081161499023e-01,-8.075321912765502930e-01
-1.827529817819595337e-01,-1.161925867199897766e-01,4.256107807159423828e-01,9.497102349996566772e-02,-9.055127501487731934e-01,2.931259274482727051e-01,-1.255013704299926758e+00,-4.504620134830474854e-01,-8.575184345245361328e-01
-1.890264898538589478e-01,-1.184265390038490295e-01,4.210485816001892090e-01,1.056952625513076782e-01,-8.933789134025573730e-01,3.178546130657196045e-01,-1.254703640937805176e+00,-4.467905759811401367e-01,-9.124423861503601074e-01
-1.953755021095275879e-01,-1.205572038888931274e-01,4.160977602005004883e-01,1.171441525220870972e-01,-8.789655566215515137e-01,3.475910127162933350e-01,-1.269799828529357910e+00,-4.261321425437927246e-01,-9.901610612869262695e-01
-2.016446143388748169e-01,-1.227200776338577271e-01,4.109375178813934326e-01,1.285929828882217407e-01,-8.653913736343383789e-01,3.731839060783386230e-01,-1.253823161125183105e+00,-4.325756132602691650e-01,-1.032051563262939453e+00
-2.079806178808212280e-01,-1.248424947261810303e-01,4.054260551929473877e-01,1.422182768583297729e-01,-8.500385284423828125e-01,4.014823436737060547e-01,-1.267201781272888184e+00,-4.244833588600158691e-01,-1.102291226387023926e+00
-2.142938077449798584e-01,-1.269944161176681519e-01,3.997129797935485840e-01,1.543291658163070679e-01,-8.345911502838134766e-01,4.255683124065399170e-01,-1.262637376785278320e+00,-4.303836524486541748e-01,-1.142615795135498047e+00
-2.206149995326995850e-01,-1.291571110486984253e-01,3.937470912933349609e-01,1.661850810050964355e-01,-8.187981247901916504e-01,4.475890696048736572e-01,-1.264238357543945312e+00,-4.325393438339233398e-01,-1.193174600601196289e+00
-2.269593179225921631e-01,-1.312182992696762085e-01,3.874092996120452881e-01,1.797927170991897583e-01,-8.011626601219177246e-01,4.727368652820587158e-01,-1.268863081932067871e+00,-4.122378528118133545e-01,-1.267556667327880859e+00
-2.333296090364456177e-01,-1.332407295703887939e-01,3.807658851146697998e-01,1.941815763711929321e-01,-7.822530269622802734e-01,4.979549348354339600e-01,-1.274058699607849121e+00,-4.044866263866424561e-01,-1.328683733940124512e+00
-2.396780252456665039e-01,-1.353006958961486816e-01,3.739187717437744141e-01,2.065207064151763916e-01,-7.637935876846313477e-01,5.190029144287109375e-01,-1.269683361053466797e+00,-4.119909405708312988e-01,-1.369422674179077148e+00
-2.460622638463973999e-01,-1.372750550508499146e-01,3.667228221893310547e-01,2.206768840551376343e-01,-7.434675097465515137e-01,5.420223474502563477e-01,-1.276846528053283691e+00,-3.948736190795898438e-01,-1.439190268516540527e+00
-2.529578506946563721e-01,-1.387509405612945557e-01,3.597444295883178711e-01,2.296441942453384399e-01,-7.242768406867980957e-01,5.597575902938842773e-01,-1.379116773605346680e+00,-2.951780855655670166e-01,-1.395679354667663574e+00
